Running the genetic algorithm...
Iteration:  83 | Fittest:   -94.5 (2.9s) - previous iteration is lower, staying with -80.5
Iteration:  84 | Fittest:   -77.4 (2.8s)
Iteration:  85 | Fittest:  -102.9 (2.9s) - previous iteration is lower, staying with -77.4
Iteration:  86 | Fittest:   -88.0 (2.9s) - previous iteration is lower, staying with -77.4
Iteration:  87 | Fittest:   -87.3 (2.9s) - previous iteration is lower, staying with -77.4
Iteration:  88 | Fittest:   -97.8 (2.9s) - previous iteration is lower, staying with -77.4
Iteration:  89 | Fittest:   -95.9 (2.8s) - previous iteration is lower, staying with -77.4
Iteration:  90 | Fittest:   -84.1 (2.9s) - previous iteration is lower, staying with -77.4
Iteration:  91 | Fittest:   -74.8 (3.0s)
Iteration:  92 | Fittest:   -76.1 (3.1s) - previous iteration is lower, staying with -74.8
Iteration:  93 | Fittest:   -74.4 (3.0s)
Iteration:  94 | Fittest:  -101.5 (2.8s) - previous iteration is lower, staying with -74.4
Iteration:  95 | Fittest:   -85.4 (3.0s) - previous iteration is lower, staying with -74.4
Iteration:  96 | Fittest:   -69.2 (3.0s)
Iteration:  97 | Fittest:   -74.2 (2.9s) - previous iteration is lower, staying with -69.2
Iteration:  98 | Fittest:  -102.1 (3.0s) - previous iteration is lower, staying with -69.2
Iteration:  99 | Fittest:   -82.0 (2.9s) - previous iteration is lower, staying with -69.2
Iteration: 100 | Fittest:   -84.7 (2.9s) - previous iteration is lower, staying with -69.2
Iteration: 101 | Fittest:   -98.8 (2.9s) - previous iteration is lower, staying with -69.2
Iteration: 102 | Fittest:   -87.3 (3.0s) - previous iteration is lower, staying with -69.2
Iteration: 103 | Fittest:   -92.6 (3.0s) - previous iteration is lower, staying with -69.2
Iteration: 104 | Fittest:   -77.4 (3.0s) - previous iteration is lower, staying with -69.2
Iteration: 105 | Fittest:   -88.0 (2.9s) - previous iteration is lower, staying with -69.2
Iteration: 106 | Fittest:  -104.4 (3.0s) - previous iteration is lower, staying with -69.2
Iteration: 107 | Fittest:   -70.8 (3.0s) - previous iteration is lower, staying with -69.2
Iteration: 108 | Fittest:   -88.8 (5.5s) - previous iteration is lower, staying with -69.2
Iteration: 109 | Fittest:   -86.9 (5.9s) - previous iteration is lower, staying with -69.2
Iteration: 110 | Fittest:   -82.3 (5.8s) - previous iteration is lower, staying with -69.2
Iteration: 111 | Fittest:   -82.5 (5.8s) - previous iteration is lower, staying with -69.2
Iteration: 112 | Fittest:   -66.9 (5.9s)
Iteration: 113 | Fittest:   -71.3 (5.9s) - previous iteration is lower, staying with -66.9
Iteration: 114 | Fittest:   -67.2 (4.0s) - previous iteration is lower, staying with -66.9
Iteration: 115 | Fittest:   -72.3 (3.0s) - previous iteration is lower, staying with -66.9
Iteration: 116 | Fittest:   -81.9 (3.0s) - previous iteration is lower, staying with -66.9
Iteration: 117 | Fittest:   -62.5 (3.9s)
Iteration: 118 | Fittest:   -92.0 (3.3s) - previous iteration is lower, staying with -62.5
Iteration: 119 | Fittest:   -76.6 (3.4s) - previous iteration is lower, staying with -62.5
Iteration: 120 | Fittest:   -78.7 (3.5s) - previous iteration is lower, staying with -62.5
Iteration: 121 | Fittest:   -69.0 (3.4s) - previous iteration is lower, staying with -62.5
Iteration: 122 | Fittest:   -78.4 (3.2s) - previous iteration is lower, staying with -62.5
Iteration: 123 | Fittest:   -79.5 (3.0s) - previous iteration is lower, staying with -62.5
Iteration: 124 | Fittest:   -93.3 (3.0s) - previous iteration is lower, staying with -62.5
Iteration: 125 | Fittest:   -67.4 (3.7s) - previous iteration is lower, staying with -62.5
Iteration: 126 | Fittest:   -78.4 (3.3s) - previous iteration is lower, staying with -62.5
Iteration: 127 | Fittest:   -69.9 (3.0s) - previous iteration is lower, staying with -62.5
Iteration: 128 | Fittest:   -79.0 (3.3s) - previous iteration is lower, staying with -62.5
Iteration: 129 | Fittest:   -71.8 (3.3s) - previous iteration is lower, staying with -62.5
Iteration: 130 | Fittest:   -68.1 (3.2s) - previous iteration is lower, staying with -62.5
Iteration: 131 | Fittest:   -80.6 (3.1s) - previous iteration is lower, staying with -62.5
Iteration: 132 | Fittest:   -58.5 (3.0s)
Iteration: 133 | Fittest:   -64.7 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 134 | Fittest:   -70.5 (3.3s) - previous iteration is lower, staying with -58.5
Iteration: 135 | Fittest:   -58.8 (3.1s) - previous iteration is lower, staying with -58.5
Iteration: 136 | Fittest:   -83.3 (3.3s) - previous iteration is lower, staying with -58.5
Iteration: 137 | Fittest:   -88.5 (3.1s) - previous iteration is lower, staying with -58.5
Iteration: 138 | Fittest:   -62.5 (3.1s) - previous iteration is lower, staying with -58.5
Iteration: 139 | Fittest:   -72.7 (3.1s) - previous iteration is lower, staying with -58.5
Iteration: 140 | Fittest:   -68.9 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 141 | Fittest:   -65.4 (3.8s) - previous iteration is lower, staying with -58.5
Iteration: 142 | Fittest:   -61.9 (3.1s) - previous iteration is lower, staying with -58.5
Iteration: 143 | Fittest:   -65.1 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 144 | Fittest:   -75.4 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 145 | Fittest:   -74.6 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 146 | Fittest:   -64.8 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 147 | Fittest:   -61.5 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 148 | Fittest:   -76.5 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 149 | Fittest:   -77.9 (3.0s) - previous iteration is lower, staying with -58.5
Iteration: 150 | Fittest:   -53.6 (3.0s)
Iteration: 151 | Fittest:   -69.0 (3.1s) - previous iteration is lower, staying with -53.6
Iteration: 152 | Fittest:   -75.8 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 153 | Fittest:   -70.8 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 154 | Fittest:   -72.0 (3.1s) - previous iteration is lower, staying with -53.6
Iteration: 155 | Fittest:   -57.8 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 156 | Fittest:   -69.7 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 157 | Fittest:   -63.0 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 158 | Fittest:   -63.0 (3.1s) - previous iteration is lower, staying with -53.6
Iteration: 159 | Fittest:   -68.6 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 160 | Fittest:   -81.1 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 161 | Fittest:   -58.1 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 162 | Fittest:   -69.0 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 163 | Fittest:   -62.1 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 164 | Fittest:   -64.0 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 165 | Fittest:   -58.1 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 166 | Fittest:   -67.1 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 167 | Fittest:   -68.8 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 168 | Fittest:   -73.4 (3.0s) - previous iteration is lower, staying with -53.6
Iteration: 169 | Fittest:   -59.0 (3.0s) - previous iteration is lower, staying with -53.6
Convergence criteria met!
Overall error: 2.62
